"Estado","População"
" São Paulo","45 919 049"
" Minas Gerais","21 168 791"
" Rio de Janeiro","17 264 943"
" Bahia","14 873 064"
" Paraná","11 433 957"
" Rio Grande do Sul","11 377 239"
" Pernambuco","9 557 071"
" Ceará","9 132 078"
" Pará","8 602 865"
" Santa Catarina","7 164 788"
" Maranhão","7 075 181"
" Goiás","7 018 354"
" Amazonas","4 144 597"
" Espírito Santo","4 018 650"
" Paraíba","4 018 127"
" Rio Grande do Norte","3 506 853"
" Mato Grosso","3 484 466"
" Alagoas","3 337 357"
" Piauí","3 273 227"
" Distrito Federal","3 015 268"
" Mato Grosso do Sul","2 778 986"
" Sergipe","2 298 696"
" Rondônia","1 777 225"
" Tocantins","1 572 866"
" Acre","881 935"
" Amapá","845 731"
" Roraima","605 761"
"Região Sudeste","88 371 433"
"Região Nordeste","57 071 654"
"Região Sul","29 975 984"
"Região Norte","18 430 980"
"Região Centro-Oeste","16 297 074"
